class,feature,importance
World,emb_dim_9,0.8904557059944165
World,emb_dim_28,0.8345953948699559
World,emb_dim_42,0.8299206251823165
World,emb_dim_82,0.8081209735283231
World,emb_dim_20,0.7714575203866451
World,emb_dim_53,0.72232338235645
World,emb_dim_13,0.6678427222033768
World,emb_dim_44,0.6648788877807289
World,emb_dim_39,0.6246075535284754
World,emb_dim_8,0.592120343462796
Sports,emb_dim_46,0.75178148408903
Sports,emb_dim_97,0.7425917485977814
Sports,emb_dim_37,0.7390141406172553
Sports,emb_dim_5,0.7144041940861354
Sports,emb_dim_21,0.6563427789428455
Sports,emb_dim_24,0.6555751902706414
Sports,emb_dim_89,0.644080999221367
Sports,emb_dim_6,0.6327475401902881
Sports,emb_dim_7,0.6296725458125934
Sports,emb_dim_42,0.6232136960864014
Business,emb_dim_96,0.970305986593179
Business,emb_dim_0,0.955696646500461
Business,emb_dim_35,0.8802917720550013
Business,emb_dim_18,0.800446064401641
Business,emb_dim_36,0.7521679123133923
Business,emb_dim_30,0.6509476262773525
Business,emb_dim_45,0.6505880553091404
Business,emb_dim_40,0.6483432153909918
Business,emb_dim_60,0.6331249188065272
Business,emb_dim_58,0.5379588575745503
Sci/Tech,emb_dim_86,1.0149717691835867
Sci/Tech,emb_dim_38,0.9447057518663354
Sci/Tech,emb_dim_71,0.9194142280319317
Sci/Tech,emb_dim_68,0.912498152255896
Sci/Tech,emb_dim_49,0.8468190554815892
Sci/Tech,emb_dim_85,0.8307042963032695
Sci/Tech,emb_dim_72,0.826129551452975
Sci/Tech,emb_dim_34,0.806170038309366
Sci/Tech,emb_dim_94,0.8031072563464282
Sci/Tech,emb_dim_58,0.7852863513212117
