dataset,method,accuracy,precision,recall,macro_f1,model_path
custom,rule,0.6,0.5,0.5,0.4444444444444444,rule
custom,nb,0.4,0.4166666666666667,0.5,0.35555555555555557,pipeline trenowany w pamieci
custom,rf,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,pipeline trenowany w pamieci
custom,textblob,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,textblob
custom,rule,0.6,0.5,0.5,0.4444444444444444,rule
custom,nb,0.4,0.4166666666666667,0.5,0.35555555555555557,pipeline trenowany w pamieci
custom,rf,0.2,0.06666666666666667,0.3333333333333333,0.1111111111111111,pipeline trenowany w pamieci
custom,textblob,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,textblob
custom,simplernn,0.4,0.13333333333333333,0.3333333333333333,0.19047619047619047,/Users/tarasivanyk/Desktop/WSEI_NLP/program/models/simplernn_custom.h5
custom,rule,0.7666666666666667,0.8273809523809524,0.7666666666666666,0.7662141779788839,rule
custom,nb,0.23333333333333334,0.23097643097643097,0.2333333333333333,0.23191311612364243,pipeline trenowany w pamieci
custom,rf,0.3333333333333333,0.4871794871794872,0.3333333333333333,0.3643892339544514,pipeline trenowany w pamieci
custom,transformer,0.6333333333333333,0.75222816399287,0.6333333333333333,0.5873015873015873,transformer
custom,rule,0.6666666666666666,0.7651515151515151,0.6666666666666666,0.657516339869281,rule
custom,nb,0.16666666666666666,0.16984126984126982,0.16666666666666666,0.16744366744366745,pipeline trenowany w pamieci
custom,rf,0.5,0.6428571428571429,0.5,0.45,pipeline trenowany w pamieci
custom,transformer,0.6666666666666666,0.7929292929292929,0.6666666666666666,0.6083099906629319,transformer
custom,rule,0.7368421052631579,0.7954545454545454,0.7222222222222222,0.725925925925926,rule
custom,nb,0.10526315789473684,0.10833333333333334,0.10317460317460318,0.10317460317460318,pipeline trenowany w pamieci
custom,rf,0.5263157894736842,0.7261904761904762,0.5317460317460317,0.477056277056277,pipeline trenowany w pamieci
custom,transformer,0.7368421052631579,0.8111111111111112,0.753968253968254,0.7277777777777779,transformer
custom,rule,0.7368421052631579,0.7954545454545454,0.7222222222222222,0.725925925925926,rule
custom,nb,0.10526315789473684,0.10833333333333334,0.10317460317460318,0.10317460317460318,pipeline trenowany w pamieci
custom,rf,0.5263157894736842,0.7261904761904762,0.5317460317460317,0.477056277056277,pipeline trenowany w pamieci
custom,transformer,0.7368421052631579,0.8111111111111112,0.753968253968254,0.7277777777777779,transformer
custom,simplernn,0.47368421052631576,0.611111111111111,0.4523809523809524,0.41687552213867995,/Users/tarasivanyk/Desktop/WSEI_NLP/program/models/simplernn_custom.h5
